family,arm,label,rpm,level_mps2,bandwidth_hz,hull_rms_mps2,recorded_rms_mps2,firing_hz,blade_hz,vre_offset_mps2,records,disp_x_rms_m,disp_y_rms_m,disp_z_rms_m,disp_3d_rms_m,roll_rms_deg,pitch_rms_deg,yaw_rms_deg,accel_bias_3d_rms_mps2,gyro_bias_3d_rms_radps,disp_x_mean_m,disp_y_mean_m,disp_z_mean_m,roll_mean_deg,pitch_mean_deg,yaw_mean_deg,disp_z_ref_rms_m,disp_z_pct_refrms,disp_3d_ratio_to_baseline,disp_z_ratio_to_baseline,pitch_ratio_to_baseline,yaw_ratio_to_baseline
OU-III,bandwidth,bandwidth 160 Hz,2400.0,0.6,160.0,0.6,0.603447,60.0,46.1538,2.33556e-05,8,15.899427227512588,16.351993018519543,5.756215310109017,23.522616708619708,7.189413419296951,1.8616518784701368,90.14588233619848,0.3753463217341776,0.24590371253890989,0.577516521521408,0.6873991971344623,5.121655325506544,6.803142448235246,1.128930716369003,74.18595596354767,1.2154712712291358,473.5788863432444,58.05415523878329,32.14517328105314,11.92501956986652,156.42551441660555
OU-III,path,accelerometer only,2400.0,0.6,80.0,0.6,0.454334,60.0,46.1538,2.33556e-05,8,15.436608049967099,14.871640761916717,5.736384752170042,22.189202242435055,7.234738891766907,1.9717541981416755,90.29337696827463,0.38082418666297546,0.23972784857971458,0.7798980115785733,0.19001744946498828,5.096701724403367,6.838342198199539,1.4099455500866083,95.0191582045539,1.2154712712291358,471.94737448373974,54.76326922144845,32.0344309465736,12.630292307457914,156.68145426763672
OU-III,matched,matched 20 Hz,2400.0,1.4620249498535833,20.0,1.46202,0.454335,60.0,46.1538,0.000138675,8,1.7785206839518073,1.6378960336816866,0.39054736782694777,2.4491563320328624,2.1055249262138602,0.9585782315316334,104.42691799607115,0.33432459305524614,0.1235720988015419,0.27624758000415894,0.4192303582327887,0.2205646665085601,1.9877800505850918,0.7737717965720482,83.37255198136724,1.2154712712291358,32.131353251320355,6.044552936654474,2.180983882101983,6.140280200859333,181.20666128215052
OU-III,matched,matched 40 Hz,2400.0,0.9276192615127047,40.0,0.927619,0.454334,60.0,46.1538,5.58249e-05,8,9.52918472522348,8.777360166490032,2.52510544737064,13.199377782842847,4.636761878679969,1.523446876771289,91.28363656554278,0.36648327950013576,0.19617137099697676,0.13126146561109436,0.18377435345585935,2.2727684855927035,4.429652214056214,0.9832792370771891,99.90074572803996,1.2154712712291358,207.74702842767704,32.57625358405419,14.10127102370727,9.758609560278792,158.39980082872472
OU-III,matched,matched 160 Hz,2400.0,0.45173876081909436,160.0,0.451739,0.454334,60.0,46.1538,1.32392e-05,8,8.423502317325328,8.238709077742618,2.1105007170621137,11.970210401400042,4.120392824764075,1.7831890613266133,90.04370690124934,0.3761172217470574,0.18592482790224046,0.10581566237444998,0.14027410593273282,1.9190004830952874,3.8981968211470863,1.4880491993983183,79.83304745245654,1.2154712712291358,173.6364130538344,29.542650866267245,11.78594051904283,11.42241720861717,156.24821463808595
TFG,baseline,engine off,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,8,0.2960926009851434,0.23051444710340502,0.18051794538840632,0.4164066001062065,0.30454332578644744,0.08327025802728102,0.5549649101559949,0.05153948153786672,0.00011392025344007303,0.06794970467457576,0.05631448643901897,0.006962492353236917,0.2671235512513262,0.0639099675406445,0.46994033096145577,1.2154712712291358,14.851683430235168,1.0,1.0,1.0,1.0
TFG,speed,speed 800 rpm,800.0,0.6,80.0,0.381445,0.375112,20.0,15.3846,9.43957e-06,8,0.47452451735245627,0.49329162015983674,0.26596126525322983,0.7343333916163278,4.211215001504252,4.583024721909514,49.42666495364946,1.0600635403169938,0.01707810899948819,0.28749629511567254,0.18192025029546438,0.011973921048404532,3.2954989368858447,3.8976188285465723,37.98449764888395,1.2154712712291358,21.88132879391535,1.763500846117791,1.4733231351652147,55.03795509325818,89.06268495382191
TFG,speed,speed 1200 rpm,1200.0,0.6,80.0,0.41992,0.394336,30.0,23.0769,1.14399e-05,8,0.5516202017054013,0.6005070969298667,0.25490304796336416,0.8543238095982162,8.246463205875889,4.3199103900181095,56.11842226161043,1.579508382276314,0.007705907551215884,0.347393228836901,0.33585969234713703,0.01447385768732108,7.785907036661292,1.8711710428980934,56.80496299194216,1.2154712712291358,20.97154033970671,2.051657705186029,1.4120648637724589,51.87819147387317,101.1206676938117
TFG,speed,speed 1600 rpm,1600.0,0.6,80.0,0.442537,0.380973,40.0,30.7692,1.27054e-05,8,0.5973373037633372,0.6503371527048571,0.26817525731803565,0.922858726063626,9.137734384966176,5.428400493169058,62.858762029122275,1.7962163647363047,0.0013179384840031586,0.1629316437207391,0.32028177488870246,0.021290459945212212,7.865942616895343,4.112873755727458,60.97781790001814,1.2154712712291358,22.063479710782925,2.2162442329882532,1.4855877998224718,65.19014858090874,113.26619193176253
TFG,speed,speed 2000 rpm,2000.0,0.6,80.0,0.512922,0.410564,50.0,38.4615,1.70683e-05,8,3.9383809216512478,6.996389208943241,0.6224075487037276,8.052806587786536,15.432946652558451,11.989918806739105,109.05203029524948,3.2784515686577005,0.024673705795995985,3.3996057175091483,6.521267513206248,0.17457356830921894,14.531511613640426,8.851688973006429,114.14889634942128,1.2154712712291358,51.20709665760531,19.33880631510795,3.4478984754925173,143.98801073500894,196.50256854004712
