scenario,wave_phase_seed,imu_noise_seed,initialization_seed,family,input_sha256,samples,window_s,disp_z_pct_hs,disp_z_rms_m,disp_3d_rms_m,roll_rms_deg,pitch_rms_deg,yaw_rms_deg,accel_3d_rms_mps2,accel_bias_3d_rms_mps2,gyro_bias_3d_rms_radps
stationary_jonswap_H8_500_L202_839_A_30_00_P72_00,131,601,1511,OU_III,ea4627b3ac89ff3dec795510f59108e4571a68cf07de7573d324c6fcfd9a5221,180000,900.0,4.25468779,0.36164847,0.775204599,0.238295019,0.313422143,0.74066627,0.0349744558,0.0665321127,0.000101493191
stationary_jonswap_H8_500_L202_839_A_30_00_P72_00,131,601,1511,TFG,ea4627b3ac89ff3dec795510f59108e4571a68cf07de7573d324c6fcfd9a5221,180000,900.0,4.2272377,0.359315217,0.762991548,0.120181553,0.0902455226,0.281716228,0.0271678306,0.0196678136,9.7954704e-05
stationary_jonswap_H8_500_L202_839_A_30_00_P72_00,173,701,1601,OU_III,6688f65c0b932eedc0efdb85431ef3a2cb929af03b31abd61b0e70a0aa4b159f,180000,900.0,4.07523108,0.346394658,0.752208173,0.123139113,0.205015451,1.54899395,0.0345262513,0.0357566029,0.000157188784
stationary_jonswap_H8_500_L202_839_A_30_00_P72_00,173,701,1601,TFG,6688f65c0b932eedc0efdb85431ef3a2cb929af03b31abd61b0e70a0aa4b159f,180000,900.0,4.07379103,0.34627226,0.757112622,0.115008362,0.493565679,2.25581408,0.0411565155,0.0825687647,0.000126735991
stationary_jonswap_H8_500_L202_839_A_30_00_P72_00,211,809,1709,OU_III,1e51fa2d4141f973731c44506859b98b9081e1f50a1bf5f5a4dff5b24b9e6996,180000,900.0,3.8488965,0.327156216,0.757822633,0.495851427,0.401664823,2.94399548,0.0553967245,0.104731143,0.000138888019
stationary_jonswap_H8_500_L202_839_A_30_00_P72_00,211,809,1709,TFG,1e51fa2d4141f973731c44506859b98b9081e1f50a1bf5f5a4dff5b24b9e6996,180000,900.0,3.8253181,0.32515204,0.899243891,0.431847572,1.27453065,4.63886213,0.0827470496,0.227281034,0.000123593316
stationary_jonswap_H8_500_L202_839_A_30_00_P72_00,257,907,1801,OU_III,b42bbb4747ee5ca245864548070df418c0b88a013bd10f9f6e616b58ea975677,180000,900.0,3.88108897,0.329892576,0.762388647,0.105596758,0.269992083,2.27824545,0.0413888544,0.0469511338,0.000128693078
stationary_jonswap_H8_500_L202_839_A_30_00_P72_00,257,907,1801,TFG,b42bbb4747ee5ca245864548070df418c0b88a013bd10f9f6e616b58ea975677,180000,900.0,3.89044356,0.330687702,0.778182387,0.580568016,0.157022893,1.36646473,0.0302606672,0.100791834,0.000134706497
stationary_jonswap_H8_500_L202_839_A_30_00_P72_00,307,1009,1901,OU_III,45b31358164cbfbf0c7fa3b2c4f37a573918887328a763dfb02d6910caf0ae91,180000,900.0,3.88587928,0.330299735,0.76007241,0.210268542,0.247207582,1.24526942,0.0347557031,0.0536129661,0.00011728207
stationary_jonswap_H8_500_L202_839_A_30_00_P72_00,307,1009,1901,TFG,45b31358164cbfbf0c7fa3b2c4f37a573918887328a763dfb02d6910caf0ae91,180000,900.0,3.97589731,0.337951273,0.802205443,0.193393841,1.2202903,2.0789063,0.0616548583,0.211713269,0.000130188477
stationary_pmstokes_H0_270_L14_047_A30_00_P60_00,11,101,1009,OU_III,d82611da4dbcec524aaf8d34819f92e07e0d123ca2dccd34a5fad32c8563abc6,180000,900.0,4.07381296,0.0109992959,0.0162350535,0.461911231,0.512466311,6.20106792,0.0149777438,0.117851496,0.000106941508
stationary_pmstokes_H0_270_L14_047_A30_00_P60_00,11,101,1009,TFG,d82611da4dbcec524aaf8d34819f92e07e0d123ca2dccd34a5fad32c8563abc6,180000,900.0,4.20833349,0.0113625005,0.0172586869,0.360836655,0.60392338,6.25907946,0.0167233068,0.120341539,9.40577156e-05
stationary_pmstokes_H0_270_L14_047_A30_00_P60_00,29,211,1103,OU_III,f81f04f8625d4bf4b6a2237018d332b6b4e3106fcc4441b96e8efd726943ec1f,180000,900.0,4.19609308,0.0113294516,0.0168780163,0.229841873,0.241155073,0.654374838,0.0131031526,0.0576310232,0.000110116962
stationary_pmstokes_H0_270_L14_047_A30_00_P60_00,29,211,1103,TFG,f81f04f8625d4bf4b6a2237018d332b6b4e3106fcc4441b96e8efd726943ec1f,180000,900.0,4.34120369,0.0117212497,0.0183759332,0.194854051,0.233888894,0.616007507,0.0148922736,0.0528214611,0.000109915512
stationary_pmstokes_H0_270_L14_047_A30_00_P60_00,47,307,1201,OU_III,7c53259d4294a109d960bfabf020c51e5f299626dc2c10e750d436d6e033d798,180000,900.0,4.14893055,0.0112021128,0.0167665519,0.219019622,0.109211303,1.1232661,0.0127005931,0.040953476,0.000102359038
stationary_pmstokes_H0_270_L14_047_A30_00_P60_00,47,307,1201,TFG,7c53259d4294a109d960bfabf020c51e5f299626dc2c10e750d436d6e033d798,180000,900.0,4.28609562,0.0115724578,0.0179198626,0.304025382,0.0601101741,1.06728184,0.0146080926,0.0519064628,0.000101052705
stationary_pmstokes_H0_270_L14_047_A30_00_P60_00,71,401,1301,OU_III,5c621c331bffe84d21ebe3605ccd6c68dc6e047a9b2c8a39bad6ccc25c785d5f,180000,900.0,4.23902655,0.0114453714,0.016919395,0.259954572,0.229036719,0.58085084,0.0135795232,0.0590922497,9.8001663e-05
stationary_pmstokes_H0_270_L14_047_A30_00_P60_00,71,401,1301,TFG,5c621c331bffe84d21ebe3605ccd6c68dc6e047a9b2c8a39bad6ccc25c785d5f,180000,900.0,4.38007116,0.011826193,0.0181663781,0.0930701494,0.329219133,0.632666051,0.0152138192,0.0586621799,0.000102102997
stationary_pmstokes_H0_270_L14_047_A30_00_P60_00,97,503,1409,OU_III,ca01cd80fe783b6b490ef97fd2b2822fa754638bc140f7d819036384caa97041,180000,900.0,4.28134489,0.0115596317,0.017230304,0.140957922,0.136314973,1.51017082,0.0134449396,0.0331003331,0.000124418613
