experiment,case,parameter,scale_label,mode,metric,n,mean,std,bootstrap_ci95_low,bootstrap_ci95_high
sensitivity,tau_x0.5,tau,0.5,FixedSensitivity,disp_y_pct_hs,10,12.4594451,1.4540392192524296,11.61968053875,13.320472935
sensitivity,tau_x0.5,tau,0.5,FixedSensitivity,disp_z_pct_hs,10,4.911246681,0.23076925581395094,4.7744466779999994,5.040747973125001
sensitivity,tau_x0.5,tau,0.5,FixedSensitivity,disp_3d_pct_refmax,10,20.688837239999998,1.3284991451780384,19.95409220275,21.545581185249997
sensitivity,tau_x0.5,tau,0.5,FixedSensitivity,disp_z_ref_rms_m,10,0.37427037360000004,0.004893837461117378,0.37134032230749997,0.377062426865
sensitivity,tau_x0.5,tau,0.5,FixedSensitivity,disp_z_pct_refrms,10,19.692662430000002,1.0939302040939487,19.045133977499997,20.330673400249992
sensitivity,tau_x0.5,tau,0.5,FixedSensitivity,roll_rms_deg,10,0.6246840866,0.3678901453655941,0.4125334925400001,0.8441702205849999
sensitivity,tau_x0.5,tau,0.5,FixedSensitivity,pitch_rms_deg,10,0.2965060055,0.07184820099921317,0.2575923651875,0.3400835250725
sensitivity,tau_x0.5,tau,0.5,FixedSensitivity,yaw_rms_deg,10,2.4059716967999996,2.850515598359951,0.9133587366775001,4.2476692737074995
sensitivity,tau_x0.5,tau,0.5,FixedSensitivity,dir_axis_error_deg,10,0.5419677732,0.9827048745543357,-0.048395348202499994,1.1187545777
sensitivity,tau_x0.5,tau,0.5,FixedSensitivity,dir_axis_abs_error_deg,10,0.9228942869999999,0.5879655938872763,0.5987127305175001,1.2837607954924997
sensitivity,tau_x0.5,tau,0.5,FixedSensitivity,dir_axis_rmse_deg,10,12.03900088,0.35423893994376104,11.825221501749999,12.240178308499999
sensitivity,tau_x0.5,tau,0.5,FixedSensitivity,dir_axis_circ_std_deg,10,11.91771833,0.3201476212606551,11.72036191875,12.10023668075
sensitivity,tau_x0.5,tau,0.5,FixedSensitivity,dir_sense_forward_pct,10,86.79177993210001,30.179180019147363,67.62327355605,96.48862081325
sensitivity,tau_x0.5,tau,0.5,FixedSensitivity,dir_sense_reverse_pct,10,10.547778306800002,30.036209164511913,0.9395541966875002,29.582648767472502
sensitivity,tau_x0.5,tau,0.5,FixedSensitivity,dir_sense_uncertain_pct,10,2.6604445219999997,0.20878328373301855,2.547220843825,2.7901111841749997
sensitivity,tau_x0.5,tau,0.5,FixedSensitivity,dir_sense_dominant_pct,10,96.30411377,0.36326316327112695,96.0789940165,96.50489395574999
sensitivity,tau_x0.5,tau,0.5,FixedSensitivity,accel_bias_3d_rms_mps2,10,0.11244366583000001,0.05871477261586573,0.0788901366535,0.1465613134905
sensitivity,tau_x0.5,tau,0.5,FixedSensitivity,gyro_bias_3d_rms_radps,10,0.0003423595305,0.0001387779960150934,0.0002660901652275,0.0004284458371100001
sensitivity,tau_x0.75,tau,0.75,FixedSensitivity,disp_x_rms_m,10,0.18053782889999997,0.010003007037858624,0.17466005858249997,0.18658007183499997
sensitivity,tau_x0.75,tau,0.75,FixedSensitivity,disp_y_rms_m,10,0.1872747243,0.021811395981962814,0.17484760692,0.20011367558000004
sensitivity,tau_x0.75,tau,0.75,FixedSensitivity,disp_z_rms_m,10,0.07371579334,0.003558190952561587,0.07160306007849998,0.07583231824
sensitivity,tau_x0.75,tau,0.75,FixedSensitivity,disp_3d_rms_m,10,0.27117154,0.010293369458288501,0.26552875038749996,0.27749741349500007
sensitivity,tau_x0.75,tau,0.75,FixedSensitivity,disp_x_pct_hs,10,12.03585464,0.6668671747333599,11.64223962525,12.42669582475
sensitivity,tau_x0.75,tau,0.75,FixedSensitivity,disp_y_pct_hs,10,12.48498104,1.4540931426074015,11.6435863715,13.337612673749998
sensitivity,tau_x0.75,tau,0.75,FixedSensitivity,disp_z_pct_hs,10,4.914385986,0.23721271086682244,4.775447130000001,5.05395708705
sensitivity,tau_x0.75,tau,0.75,FixedSensitivity,disp_3d_pct_refmax,10,20.68065167,1.3321466611107855,19.961802968250005,21.5485386
sensitivity,tau_x0.75,tau,0.75,FixedSensitivity,disp_z_ref_rms_m,10,0.37427037360000004,0.004893837461117378,0.3713774637375,0.3771224284075
sensitivity,tau_x0.75,tau,0.75,FixedSensitivity,disp_z_pct_refrms,10,19.70534344,1.1179825106946792,19.045286476,20.350136324
sensitivity,tau_x0.75,tau,0.75,FixedSensitivity,roll_rms_deg,10,0.6232815609000001,0.3685463466260232,0.41703217639249995,0.842628647545
sensitivity,tau_x0.75,tau,0.75,FixedSensitivity,pitch_rms_deg,10,0.2956666423,0.0981632950239553,0.24142712422499998,0.3567598960475
sensitivity,tau_x0.75,tau,0.75,FixedSensitivity,yaw_rms_deg,10,2.4450727125,2.8270424669838725,0.9725982527874998,4.269235123949999
sensitivity,tau_x0.75,tau,0.75,FixedSensitivity,dir_axis_error_deg,10,0.5616134644999999,0.9780695113090134,-0.019803235607499997,1.1258508289325
sensitivity,tau_x0.75,tau,0.75,FixedSensitivity,dir_axis_abs_error_deg,10,0.9310073845,0.5865084119612619,0.6015150828025,1.2944591125899998
sensitivity,tau_x0.75,tau,0.75,FixedSensitivity,dir_axis_rmse_deg,10,12.036896899999999,0.3625028963409841,11.81979662725,12.2441342945
sensitivity,tau_x0.75,tau,0.75,FixedSensitivity,dir_axis_circ_std_deg,10,11.914864340000001,0.3274113328851924,11.716470713750002,12.104160613000001
sensitivity,tau_x0.75,tau,0.75,FixedSensitivity,dir_sense_forward_pct,10,86.76911425419999,30.166579764600353,67.6149413926,96.4699596905
sensitivity,tau_x0.75,tau,0.75,FixedSensitivity,dir_sense_reverse_pct,10,10.5494449437,30.022596019047025,0.95572085287,29.583668126099997
