experiment,parameter,left_case,right_case,comparison,metric,n_pairs,mean_paired_difference,std_paired_difference,bootstrap_ci95_low,bootstrap_ci95_high,cohen_dz,hedges_gz
transition_rate,,rapid/Adaptive,controlled/Adaptive,rapid_minus_controlled_Adaptive,disp_z_ref_rms_m,10,0.03167425989999999,0.013245500687141814,0.024274453495000008,0.039708937402500005,2.3913222042823987,2.1853693206797042
transition_rate,,rapid/Adaptive,controlled/Adaptive,rapid_minus_controlled_Adaptive,disp_z_pct_refrms,10,0.25943965999999963,0.6513039032073105,-0.1132596777500009,0.6623100597499992,0.3983388687253419,0.36403189055313945
transition_rate,,rapid/Adaptive,controlled/Adaptive,rapid_minus_controlled_Adaptive,roll_rms_deg,10,0.0012483656999999842,0.001638333870191227,0.0003129127799999882,0.002202253369999985,0.7619727106382012,0.6963477284833637
transition_rate,,rapid/Adaptive,controlled/Adaptive,rapid_minus_controlled_Adaptive,pitch_rms_deg,10,0.0040755821999999995,0.005412286592006968,0.0011559781775000006,0.007488057074999992,0.7530240926300807,0.6881698111694998
transition_rate,,rapid/Adaptive,controlled/Adaptive,rapid_minus_controlled_Adaptive,yaw_rms_deg,10,0.0010310295000000025,0.037429810051039444,-0.021363862742499982,0.02266116572249997,0.027545678126447513,0.02517330361715969
transition_rate,,rapid/Adaptive,controlled/Adaptive,rapid_minus_controlled_Adaptive,dir_axis_error_deg,10,-0.33372650036999996,0.7144671497948474,-0.7719489652642499,0.06178989622649997,-0.46709845297411706,-0.4268695481681897
transition_rate,,rapid/Adaptive,controlled/Adaptive,rapid_minus_controlled_Adaptive,dir_axis_abs_error_deg,10,-0.34744415182999994,0.7071640668745637,-0.7840072628,0.04886386953574997,-0.4913204277553166,-0.4490054027503604
transition_rate,,rapid/Adaptive,controlled/Adaptive,rapid_minus_controlled_Adaptive,dir_axis_rmse_deg,10,-0.08127574999999947,0.1797415838000783,-0.1847369769999998,0.026545145750000488,-0.4521811162541012,-0.41323696868735216
transition_rate,,rapid/Adaptive,controlled/Adaptive,rapid_minus_controlled_Adaptive,dir_axis_circ_std_deg,10,-0.03270139000000007,0.1717281757929953,-0.1382093637500002,0.06595665349999982,-0.19042530352980053,-0.17402490365786036
transition_rate,,rapid/Adaptive,controlled/Adaptive,rapid_minus_controlled_Adaptive,dir_sense_forward_pct,10,0.019722664000000955,0.382583256261578,-0.19428440442499798,0.2543376350250007,0.05155129942883927,0.04711143818729594
transition_rate,,rapid/Adaptive,controlled/Adaptive,rapid_minus_controlled_Adaptive,dir_sense_reverse_pct,10,0.13855624900000113,0.20687620297361414,0.00966531700000002,0.254502462375001,0.6697544087159855,0.6120717377929059
transition_rate,,rapid/Adaptive,controlled/Adaptive,rapid_minus_controlled_Adaptive,dir_sense_uncertain_pct,10,-0.15827779799999994,0.23323892749840947,-0.291676417925,-0.02109733872500011,-0.6786079823706928,-0.620162796458579
transition_rate,,rapid/Adaptive,controlled/Adaptive,rapid_minus_controlled_Adaptive,dir_sense_dominant_pct,10,0.12238999000000206,0.38162078709899167,-0.10006047924999861,0.33783414000000106,0.32071101506389993,0.2930897441882011
