mode,axis,distance_m,spectrum,hs_m,input,disp_x_rms_m,disp_y_rms_m,disp_z_rms_m,disp_3d_rms_m,roll_rms_deg,pitch_rms_deg,yaw_rms_deg,accel_bias_3d_rms_mps2,gyro_bias_3d_rms_radps,disp_z_ref_rms_m,disp_z_pct_refrms,disp_z_pct_hs,tau_applied_s,sigma_applied_mps2,installed_rms_mps2,residual_rms_mps2,cutoff_hz
exact,z-vertical,0.1,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.233376384,0.154701561,0.160558701,0.322763383,0.218686894,0.16014035,0.772695959,0.0452534929,0.000129878521,1.04307246,15.3928614,4.01396751,3.93718648,0.840440035,0.0393734,0.0,nan
exact,z-vertical,0.1,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.534262717,0.398200154,0.314907879,0.736998618,0.283846051,0.196668595,0.546544194,0.0573396794,0.0001258384,2.15460348,14.6155834,3.70479846,4.49675274,1.10321939,0.0460494,0.0,nan
exact,z-vertical,0.1,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.00962122437,0.00902902428,0.0113713797,0.0174183678,0.317119479,0.126183704,0.647858024,0.0582333468,0.00010005002,0.0499124601,22.7826481,4.21162224,1.51927447,0.0886804387,0.0133853,0.0,nan
exact,z-vertical,0.1,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0667747557,0.0484997369,0.0603320636,0.102230377,0.158343211,0.166968569,0.427918106,0.0387927219,0.000115240757,0.385561794,15.6478329,4.02213764,2.32575393,0.438276827,0.036426,0.0,nan
exact,z-vertical,0.1,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.226772979,0.155432314,0.158097968,0.317143738,0.205165222,0.156383902,0.581281126,0.0427850597,0.000123272999,1.04037023,15.1963177,3.95244908,3.67536902,0.908064127,0.0487928,0.0,nan
exact,z-vertical,0.1,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.539983392,0.386621296,0.314244598,0.734716117,0.318639606,0.210819319,0.441467017,0.0633730292,0.000128249667,2.16781425,14.4959192,3.69699526,4.32255268,1.31836581,0.0572694,0.0,nan
exact,z-vertical,0.2,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.00967182964,0.00908236858,0.0114700375,0.0175384004,0.311116904,0.127011895,0.48171401,0.057324484,0.000104372462,0.0534430593,21.4621658,4.24816179,1.53017128,0.00927250274,0.0277413,0.0,nan
exact,z-vertical,0.2,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0687022731,0.0507269427,0.061478857,0.105227731,0.160465136,0.1662696,0.588549733,0.0390663818,0.000111615765,0.390963972,15.7249422,4.09859037,2.50614476,0.395435363,0.0596331,0.0,nan
exact,z-vertical,0.2,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.233374625,0.154705539,0.160556749,0.322763056,0.21868594,0.160142079,0.772686779,0.0452535078,0.000129877473,1.04307246,15.3926754,4.01391888,3.93718505,0.840440035,0.0787468,0.0,nan
exact,z-vertical,0.2,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.534258842,0.398202986,0.314905852,0.736996472,0.283845633,0.196671039,0.5465765,0.0573398732,0.000125839681,2.15460348,14.61549,3.70477462,4.49675798,1.10321939,0.0920987,0.0,nan
exact,z-vertical,0.2,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.00962108746,0.00902906526,0.0113712586,0.0174182337,0.317120582,0.126182839,0.647853673,0.0582334511,0.000100049227,0.0499124601,22.7824039,4.21157694,1.51930368,0.0886807814,0.0267706,0.0,nan
exact,z-vertical,0.2,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0667745695,0.0484996662,0.0603308752,0.102229521,0.158342719,0.166971341,0.427936196,0.0387929827,0.000115241019,0.385561794,15.6475248,4.02205801,2.3257544,0.438276678,0.072852,0.0,nan
exact,z-vertical,0.2,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.226772189,0.155432284,0.158098519,0.31714344,0.205165252,0.156386465,0.581269503,0.0427853502,0.000123272519,1.04037023,15.1963711,3.95246291,3.6753726,0.908064842,0.0975856,0.0,nan
exact,z-vertical,0.2,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.539988637,0.386623353,0.314244479,0.734721005,0.31864059,0.210818395,0.44146207,0.0633730814,0.000128251719,2.16781425,14.4959135,3.69699383,4.32255697,1.31836605,0.114539,0.0,nan
exact,z-vertical,0.3,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.00967185851,0.00908234157,0.0114700897,0.0175384358,0.311117083,0.127013519,0.481721997,0.0573245771,0.000104372608,0.0534430593,21.4622631,4.24818134,1.53016961,0.00927249528,0.0416119,0.0,nan
exact,z-vertical,0.3,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0687010735,0.0507268421,0.0614794865,0.105227262,0.160465181,0.166269526,0.588550448,0.0390663892,0.000111615765,0.390963972,15.7251034,4.09863234,2.50614405,0.395435363,0.0894497,0.0,nan
exact,z-vertical,0.3,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.233374923,0.154703245,0.160557792,0.322762698,0.218685716,0.160140991,0.772693098,0.0452534035,0.000129878565,1.04307246,15.3927736,4.01394463,3.93718672,0.840440452,0.11812,0.0,nan
exact,z-vertical,0.3,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.534248233,0.398203403,0.314909011,0.736990392,0.283845127,0.196672097,0.546570778,0.0573398732,0.000125838313,2.15460348,14.6156368,3.70481181,4.49675798,1.10321939,0.138148,0.0,nan
exact,z-vertical,0.3,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.00962118525,0.00902902242,0.011371389,0.017418351,0.317120284,0.126182765,0.647856832,0.0582334138,0.00010004967,0.0499124601,22.7826653,4.21162558,1.51928627,0.088680625,0.0401558,0.0,nan
