arm,record,seed,gate,disp_x_rms_m,disp_y_rms_m,disp_z_rms_m,disp_3d_rms_m,yaw_rms_deg,roll_rms_deg,pitch_rms_deg,accel_bias_3d_rms_mps2,disp_z_pct_hs,tau_applied_s,sigma_applied_mps2
S1.87_rho1.00,pmstokes_H1.500,5,FAIL,0.149553493,0.220474988,0.054370895,0.271903783,6.0106988,0.321744621,0.387078792,0.0823638141,3.6247263,2.04234433,0.789860129
S1.87_rho1.00,pmstokes_H4.000,1,FAIL,0.590284169,0.463966876,0.158661678,0.76738143,2.28293371,0.365443796,0.567350984,0.0990856662,3.96654201,3.28950691,1.12075531
S1.87_rho1.00,pmstokes_H4.000,2,FAIL,0.600219786,0.405835152,0.162466303,0.742537022,3.53523088,0.283100247,0.196341544,0.0450309031,4.06165743,3.29101133,1.12501812
S1.87_rho1.00,pmstokes_H4.000,3,FAIL,0.558314145,0.337797314,0.151762858,0.669965446,4.42810345,0.185929239,0.227073446,0.0318271741,3.79407144,3.29030442,1.12644529
S1.87_rho1.00,pmstokes_H4.000,4,FAIL,0.601668239,0.389358044,0.157408774,0.733745098,1.83914459,0.248969406,0.263195395,0.0473732203,3.93521929,3.29041028,1.12562871
S1.87_rho1.00,pmstokes_H4.000,5,FAIL,0.596346498,0.422978669,0.145262286,0.745413482,2.86473083,0.419698745,0.324152052,0.0892266631,3.63155723,3.29185557,1.1228081
S1.87_rho1.00,pmstokes_H8.500,1,FAIL,0.801077724,1.09334445,0.351096362,1.40014148,3.33457303,0.245640278,0.478622258,0.0786253363,4.13054514,4.10336018,1.49631071
S1.87_rho1.00,pmstokes_H8.500,2,FAIL,0.803670943,0.953184009,0.322431266,1.28779221,2.88692856,0.442984492,0.254251957,0.0741180256,3.79330897,4.10316706,1.49493265
S1.87_rho1.00,pmstokes_H8.500,3,FAIL,0.89219147,0.8179304,0.321570307,1.25236702,2.58811855,0.199030876,0.278352678,0.0346610248,3.78318,4.10334301,1.49580479
S1.87_rho1.00,pmstokes_H8.500,4,FAIL,0.827939689,0.961096764,0.338769674,1.31299508,1.74129939,0.584151208,0.357986033,0.106025778,3.98552561,4.10386848,1.48789072
S1.87_rho1.00,pmstokes_H8.500,5,FAIL,0.76343739,1.1113807,0.321049571,1.38602901,5.8481164,0.300936401,0.437817663,0.0824562758,3.77705359,4.10165882,1.49417436
