arm,record,seed,gate,disp_x_rms_m,disp_y_rms_m,disp_z_rms_m,disp_3d_rms_m,disp_z_pct_hs,tau_applied_s,sigma_applied_mps2
S1.10_rho1.00,jonswap_H8.500,1,FAIL,0.846631229,1.13165557,0.342789233,1.45428097,4.0328145,4.22194338,1.42203033
S1.10_rho1.00,jonswap_H8.500,2,FAIL,0.854609311,0.9883582,0.340967476,1.35035837,4.0113821,4.22111464,1.4186244
S1.10_rho1.00,jonswap_H8.500,3,FAIL,0.954288721,0.858257353,0.336143374,1.3267498,3.95462775,4.22255135,1.41917109
S1.10_rho1.00,jonswap_H8.500,4,FAIL,0.894531846,1.03012109,0.34834826,1.40807784,4.09821463,4.22084951,1.41772294
S1.10_rho1.00,jonswap_H8.500,5,FAIL,0.828345418,1.15724635,0.320857733,1.45887792,3.77479672,4.22343445,1.41908598
S1.10_rho1.00,pmstokes_H0.270,1,FAIL,0.0450804494,0.0398487709,0.0119352126,0.0613402054,4.42044926,1.18999803,0.396762252
S1.10_rho1.00,pmstokes_H0.270,2,FAIL,0.0430922769,0.0385050178,0.0130196279,0.0592375845,4.82208443,1.17476964,0.395672619
S1.10_rho1.00,pmstokes_H0.270,3,FAIL,0.0408458561,0.0350336954,0.0117253494,0.0550747439,4.34272194,1.14895809,0.385178655
S1.10_rho1.00,pmstokes_H0.270,4,FAIL,0.043232888,0.0366977528,0.0123620667,0.058039885,4.57854319,1.1575098,0.397549897
S1.10_rho1.00,pmstokes_H0.270,5,FAIL,0.0445558317,0.0380953886,0.0117779067,0.0597929768,4.36218739,1.14930069,0.397038549
S1.10_rho1.00,pmstokes_H1.500,1,FAIL,0.156676933,0.222251698,0.0585080348,0.278148651,3.90053558,2.04409766,0.791518748
S1.10_rho1.00,pmstokes_H1.500,2,FAIL,0.15251109,0.204665974,0.060832046,0.26238966,4.05546951,2.04525042,0.790892839
S1.10_rho1.00,pmstokes_H1.500,3,FAIL,0.165040359,0.175482124,0.055875577,0.247294113,3.72503829,2.04276919,0.79007268
S1.10_rho1.00,pmstokes_H1.500,4,FAIL,0.15666987,0.196763292,0.0583676398,0.25820151,3.89117575,2.04334545,0.791733444
