arm,family,record,axis,settle_own_s,settle_usable_s,peak_err_m,peak_t_s,ss_err_rms_m,ss_ref_rms_m,ss_ratio
engine,TFG,wave_data_fenton_H8.500_L202.839_A0.00_P72.00,y,167.188,180,33.1477,77.8269,0.670536,0,nan
engine,TFG,wave_data_fenton_H8.500_L202.839_A0.00_P72.00,z,147.238,124.906,30.4442,83.2239,0.477845,3.06624,0.155841
engine,PII,wave_data_fenton_H8.500_L202.839_A0.00_P72.00,z,48.3611,59.3485,7.5999,5.59508,0.900486,3.06624,0.293678
engine,OU-II,wave_data_fenton_H8.500_L202.839_A0.00_P72.00,x,89.7803,170.416,5.81636,47.3059,1.13758,2.5493,0.446234
engine,OU-II,wave_data_fenton_H8.500_L202.839_A0.00_P72.00,y,0,180,0.587305,170.836,0.310753,0,nan
engine,OU-II,wave_data_fenton_H8.500_L202.839_A0.00_P72.00,z,180,180,18.7139,128.67,0.706557,3.06624,0.230431
engine,OU-III,wave_data_fenton_H8.500_L202.839_A0.00_P72.00,x,73.6841,159.56,12.44,49.0413,0.799316,2.5493,0.313544
engine,OU-III,wave_data_fenton_H8.500_L202.839_A0.00_P72.00,y,0,180,1.34134,49.9365,0.4952,0,nan
engine,OU-III,wave_data_fenton_H8.500_L202.839_A0.00_P72.00,z,180,167.888,11.7387,97.8509,0.419918,3.06624,0.136949
engine,NLO,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00,x,180,180,9.34614,35.765,0.073079,0.0093565,7.8105
engine,NLO,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00,y,141.6,180,3.08813,23.485,0.0705023,0.00416606,16.923
engine,NLO,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00,z,180,180,1.33393,24.995,0.0189476,0.0534438,0.354533
engine,TFG,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00,x,144.385,180,0.165148,45.005,0.0100619,0.0093565,1.07539
engine,TFG,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00,y,134.435,180,0.084594,38.53,0.00861948,0.00416606,2.06898
engine,TFG,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00,z,81.47,80.03,0.72753,46.23,0.012891,0.0534438,0.241207
engine,PII,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00,z,180,180,1.06443,19.71,0.0111214,0.0534438,0.208095
engine,OU-II,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00,x,150.35,180,0.0318616,117.125,0.0088738,0.0093565,0.94841
engine,OU-II,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00,y,127.005,180,0.0332884,79.17,0.00659531,0.00416606,1.5831
engine,OU-II,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00,z,134.76,142.935,0.764991,92.245,0.018451,0.0534438,0.345241
engine,OU-III,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00,x,150.175,180,0.0280951,36.825,0.00942289,0.0093565,1.0071
engine,OU-III,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00,y,157.655,180,0.0378092,79.465,0.00906337,0.00416606,2.17552
engine,OU-III,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00,z,140.575,142.96,0.670354,89.53,0.0132339,0.0534438,0.247622
engine,NLO,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00,x,180,180,7.75878,36.03,0.374428,0.164758,2.27259
engine,NLO,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00,y,100.265,180,3.59511,21.555,0.354105,0.0717974,4.932
engine,NLO,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00,z,180,180,1.17369,15.525,0.10336,0.390974,0.264365
engine,TFG,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00,x,62.295,172.405,0.901546,44.485,0.0703881,0.164758,0.427221
