family,arm,engine,seed,record,live_s,seed_mps2,true_bz_at_live_mps2,x_startup_rms_m,x_gated_rms_m,x_ref_gated_rms_m,y_startup_rms_m,y_gated_rms_m,y_ref_gated_rms_m,z_startup_rms_m,z_gated_rms_m,z_ref_gated_rms_m,z_peak_300_m,z_ref_startup_rms_m,roll_startup_rms_deg,roll_gated_rms_deg,pitch_startup_rms_deg,pitch_gated_rms_deg,yaw_startup_rms_deg,yaw_gated_rms_deg
OU-II,seed,off,11,pmstokes_H4.000,31.8377,0.0173323,-0.0240258,0.247523,0.255,0.560845,0.179111,0.17027,0.299666,8.09831,0.247042,1.04038,13.9113,0.84498,0.332019,0.202232,0.240366,0.184636,2.9733,2.41122
OU-II,seed,off,11,pmstokes_H8.500,31.8377,0.00190798,-0.0240258,0.746391,0.610969,1.35069,0.426593,0.40262,0.791527,10.5298,0.504667,2.16784,20.7377,1.78784,0.392015,0.20697,0.398752,0.22319,3.18437,3.32255
OU-II,seed,off,23,gerstner_H0.270,31.8377,-0.00926108,-0.0488114,0.0148303,0.015427,0.0159078,0.0102595,0.00895201,0,0.829346,0.0202226,0.078711,1.31945,0.0788203,0.54395,0.624211,0.0611203,0.0737115,3.1215,2.54773
OU-II,seed,off,23,gerstner_H1.500,31.8377,-0.0126475,-0.0488114,0.148443,0.126167,0.301023,0.0587036,0.0619148,0,4.85177,0.129234,0.566316,8.05121,0.567006,0.549684,0.637533,0.160248,0.0672074,3.01452,2.48323
OU-II,seed,off,23,gerstner_H4.000,32.7178,-0.0167486,-0.0490375,0.622811,0.438922,1.07262,0.128343,0.143922,0,10.0444,0.340266,1.46764,18.9757,1.4709,0.548713,0.637348,0.410449,0.0663889,3.07428,2.45458
OU-II,seed,off,23,gerstner_H8.500,35.7434,0.00207496,-0.0483697,2.13811,1.09414,2.55542,0.268004,0.280263,0,23.3156,0.721064,3.06514,46.7268,3.08196,0.544063,0.635798,1.02891,0.0888706,3.37289,2.52198
OU-II,seed,off,23,cnoidal_H0.270,31.8377,-0.0118779,-0.0488114,0.0310864,0.0309231,0.030964,0.000126778,0.000103863,0,0.0704681,0.0501413,0.0522243,0.161684,0.052182,0.530017,0.588966,0.0683161,1.02236,2.77175,1.42906
OU-II,seed,off,23,cnoidal_H1.500,31.8377,-0.0120892,-0.0488114,0.234897,0.234423,0.230151,0.00096227,0.000729851,0,0.281502,0.271401,0.272238,0.508751,0.271661,0.532656,0.594016,0.261459,1.83547,3.01531,3.3711
OU-II,seed,off,23,cnoidal_H4.000,38.6441,-0.0272205,-0.0473587,0.683977,0.68297,0.659043,0.00305589,0.0019968,0,0.71034,0.74497,0.713867,1.27999,0.710129,0.532851,0.608226,0.413187,1.76109,4.56171,2.1721
OU-II,seed,off,23,cnoidal_H8.500,37.1687,0.00384576,-0.0481756,1.45068,1.46619,1.41758,0.00510561,0.0043204,0,1.61916,1.61549,1.47381,2.86174,1.49164,0.516092,0.618242,0.530721,0.73166,4.56978,3.60694
